Local time,Open,High,Low,Close,Volume
2023-03-09,1814.235,1835.565,1812.635,1829.695,25404349.923
2023-03-10,1829.675,1870.065,1828.435,1867.448,42324190.5271
2023-03-13,1882.505,1914.475,1871.328,1902.845,57728204.9061
2023-03-14,1902.835,1913.445,1895.228,1902.725,43012979.9545
2023-03-15,1902.745,1937.295,1885.565,1913.135,50387209.952
2023-03-16,1913.115,1933.385,1912.118,1927.625,48300870.0907
2023-03-17,1927.605,1988.998,1927.155,1987.798,40284550.0709
2023-03-20,1973.208,2009.695,1965.748,1983.755,40877927.6908
2023-03-21,1983.735,1983.745,1935.194,1939.515,37483789.8314
2023-03-22,1939.495,1978.705,1934.175,1976.745,44987809.8668
2023-03-23,1976.745,2003.185,1966.455,1992.698,43695800.2746
2023-03-24,1992.715,2002.848,1975.085,1977.988,34344019.8602
2023-03-27,1974.535,1975.435,1943.895,1959.565,30082079.9469
2023-03-28,1959.545,1975.148,1949.028,1966.375,32661970.0491
2023-03-29,1966.405,1971.605,1955.204,1959.425,28723320.0669
2023-03-30,1959.438,1984.195,1958.838,1981.038,34503679.9312
2023-03-31,1981.078,1987.485,1966.754,1968.748,27822710.4545
2023-04-03,1951.715,1990.365,1950.425,1978.045,33994330.4657
2023-04-04,1978.045,2025.235,1976.825,2022.975,35702139.6159
2023-04-05,2022.935,2031.968,2007.915,2011.265,30691215.8279
2023-04-06,2011.295,2020.804,2001.0,2006.476,25678562.1047
2023-04-07,2006.476,2006.476,2006.476,2006.476,0.0
2023-04-10,1990.845,2002.875,1981.545,1997.478,23121580.0942
2023-04-11,1997.478,2019.315,1995.495,2017.074,21481680.0205
2023-04-12,2017.064,2028.235,2001.225,2017.385,31385385.1857
2023-04-13,2017.405,2048.538,2015.158,2044.985,29225980.1925
2023-04-14,2044.975,2046.365,1992.285,2003.498,31724289.7452
2023-04-17,2004.465,2014.885,1980.974,2000.125,26418199.897
2023-04-18,2000.155,2011.748,1991.195,2003.365,24044600.0097
2023-04-19,2003.385,2004.365,1969.155,1992.665,29207604.8256
2023-04-20,1992.705,2012.255,1991.275,2002.065,25961710.0357
2023-04-21,2002.075,2002.265,1971.515,1982.248,21853649.8845
2023-04-24,1980.745,2000.865,1973.995,1992.775,26044409.9008
2023-04-25,1992.765,2003.798,1976.015,1993.995,36566960.2605
2023-04-26,1994.015,2009.204,1983.198,1999.655,31969750.2852
2023-04-27,1999.695,2003.258,1973.865,1988.665,40070017.6656
2023-04-28,1988.658,1994.915,1975.905,1989.548,27686629.6232
2023-05-01,1983.235,2005.848,1976.925,1982.025,31341759.1155
2023-05-02,1981.945,2019.248,1978.324,2018.455,32128560.1855
2023-05-03,2018.445,2079.778,2007.414,2040.885,39586611.122
2023-05-04,2040.885,2059.525,2030.214,2049.685,44344651.1922
2023-05-05,2049.745,2051.015,1999.455,2016.298,71710666.4478
2023-05-08,2023.174,2029.334,2017.804,2024.865,71611869.8718
2023-05-09,2024.895,2038.144,2021.344,2031.615,89886560.4997
2023-05-10,2031.615,2048.114,2021.434,2032.294,101722578.6147
2023-05-11,2032.324,2041.214,2008.654,2011.574,130741300.2252
2023-05-12,2011.574,2022.494,2000.825,2009.798,63380455.4343
2023-05-15,2013.914,2022.114,2011.424,2016.854,74739129.8114
2023-05-16,2016.854,2017.625,1985.405,1991.288,99895377.5167
2023-05-17,1991.288,1992.054,1974.935,1982.234,85159850.4785
2023-05-18,1982.234,1982.684,1951.885,1963.185,47698899.5372
2023-05-19,1963.215,1984.075,1957.095,1977.448,25866069.8534
2023-05-22,1977.715,1982.505,1960.165,1962.595,26581619.8289
2023-05-23,1962.575,1977.554,1954.084,1976.435,33181979.6265
2023-05-24,1976.445,1985.194,1954.905,1957.125,28964110.2254
2023-05-25,1957.175,1964.625,1936.655,1948.385,30206290.0664
2023-05-26,1948.395,1957.215,1938.685,1945.788,27579080.4327
2023-05-30,1939.284,1963.378,1931.905,1957.965,28129279.986
2023-05-31,1957.955,1974.628,1954.825,1964.165,29705429.8819
2023-06-01,1964.165,1983.315,1953.255,1982.375,27070600.0328
2023-06-02,1982.395,1982.735,1947.164,1947.738,24672988.2358
2023-06-05,1946.975,1964.495,1938.045,1959.155,24043359.7713
2023-06-06,1959.244,1966.688,1954.255,1963.315,18767139.9265
2023-06-07,1963.325,1970.085,1939.544,1946.275,22894954.9199
2023-06-08,1946.275,1970.398,1942.725,1963.745,28384209.9905
2023-06-09,1963.725,1972.928,1956.475,1960.798,16745350.1373
2023-06-12,1958.378,1966.865,1949.125,1961.945,23444810.0328
2023-06-13,1961.965,1970.724,1939.935,1949.185,26402329.8323
2023-06-14,1949.165,1960.205,1932.305,1934.785,27156300.2766
2023-06-15,1934.805,1961.935,1924.898,1956.575,29741260.1413
2023-06-16,1956.595,1967.825,1953.165,1957.358,26622780.2337
2023-06-20,1950.195,1956.675,1929.705,1936.888,22250958.7258
2023-06-21,1936.894,1937.505,1919.075,1932.555,24780910.313
2023-06-22,1932.555,1933.005,1910.065,1912.345,20911419.9878
2023-06-23,1912.365,1937.238,1911.945,1920.388,21374770.3732
2023-06-26,1925.425,1933.245,1920.855,1928.365,18641659.9303
2023-06-27,1928.395,1930.585,1910.785,1915.028,21010814.9645
2023-06-28,1915.038,1916.645,1902.648,1905.355,26120890.081
2023-06-29,1905.345,1912.995,1892.915,1908.225,25857580.0805
2023-06-30,1908.245,1922.628,1900.465,1919.538,24452479.8691
2023-07-03,1918.194,1930.935,1909.965,1922.945,23192840.062
2023-07-05,1924.265,1934.905,1914.244,1918.098,23913940.1464
2023-07-06,1917.884,1927.505,1902.505,1911.085,27035060.033
