Date,Gold,Gold Price,SMA_30,SMA_50,EMA_20,MACD,MACD_signal,RSI,BB_middle,BB_upper,BB_lower
2020-08-07,92,2034.298,1871.4620333333332,1814.4757400000003,1934.9151976831447,67.13763932216852,56.29735710359126,90.91127409124175,1914.3568,2092.819641883974,1735.893958116026
2020-08-10,87,2020.235,1879.7732666666666,1820.30654,1943.0408931418929,65.57763087672629,58.15341185821827,84.13968259281414,1925.4911499999998,2101.0318819129543,1749.9504180870451
2020-08-11,89,1885.078,1883.5892666666666,1823.2227400000002,1937.5206176045697,52.82632362315485,57.08799421120559,52.30045835526805,1929.3012999999999,2097.331784110345,1761.270815889655
2020-08-12,83,1935.208,1888.6385999999998,1827.42494,1937.3003683088964,46.23294815527811,54.9169850000201,55.79895590699196,1935.5757999999998,2093.895924408341,1777.2556755916587
2020-08-13,82,1948.648,1894.6340333333333,1832.3391399999998,1938.3810951366206,41.61246369292144,52.25608073860037,56.03923022993527,1943.05995,2087.7542667886555,1798.3656332113446
2020-08-14,79,1943.998,1900.2503666666667,1837.0501400000003,1938.9160384569425,37.14726972733797,49.23431853634789,50.06322426912746,1949.79745,2080.0890089437335,1819.5058910562666
2020-08-17,86,1990.755,1907.1280333333332,1843.17008,1943.853082413424,36.955470811540636,46.778548991386444,54.81869052431402,1958.3528,2074.347573358834,1842.358026641166
2020-08-18,81,1993.935,1913.7843666666668,1849.14368,1948.6227888502408,36.637731252878666,44.75038544368489,53.77065470740032,1965.19715,2071.797010063643,1858.597289936357
2020-08-19,81,1949.475,1918.4570333333334,1853.8320800000001,1948.7039518168845,32.42459933366604,42.28522822168112,47.66932984105746,1969.2516500000002,2066.06681029016,1872.4364897098405
2020-08-20,79,1949.745,1923.4100333333333,1858.1988799999997,1948.8030992628953,28.775739860395106,39.58333054942392,46.91498436167187,1972.2490000000003,2062.173561658495,1882.3244383415054
2020-08-21,76,1939.618,1928.1277,1862.4703399999999,1947.9283279045244,24.781166314551456,36.62289770244943,45.991469267579696,1974.175,2059.1996466929554,1889.1503533070445
2020-08-24,74,1936.068,1932.7450333333331,1866.59714,1946.7987728659982,21.085917339152047,33.51550162978995,40.157244841362136,1973.801,2059.4563533399296,1888.14564666007
2020-08-25,75,1925.538,1936.6337999999998,1870.5375999999999,1944.7739373549507,17.11048389872053,30.23449808357607,34.20846700567678,1972.4355,2060.338538741552,1884.5324612584482
2020-08-26,74,1942.548,1941.0614666666665,1874.8620599999997,1944.561943321146,15.157759876744876,27.219150442209834,34.83528835192463,1971.31565,2060.1858200359566,1882.4454799640434
2020-08-27,73,1940.688,1945.7855666666667,1879.15866,1944.1929963381797,13.306733821045782,24.436667117977024,36.822323077616105,1969.8868000000002,2059.8084903324857,1879.9651096675148
2020-08-28,73,1964.428,1950.9582333333335,1883.93166,1946.1201395440673,13.598645215343822,22.269062737450383,42.35229306503026,1969.3298000000002,2059.2413259249124,1879.4182740750882
