index,Date,Gold
735,2020-01-06,72
736,2020-01-07,67
737,2020-01-08,67
738,2020-01-09,63
739,2020-01-10,63
740,2020-01-11,65
741,2020-01-12,62
742,2020-01-13,61
743,2020-01-14,58
744,2020-01-15,59
745,2020-01-16,58
746,2020-01-17,59
747,2020-01-18,64
748,2020-01-19,57
749,2020-01-20,56
750,2020-01-21,58
751,2020-01-22,56
752,2020-01-23,56
753,2020-01-24,57
754,2020-01-25,62
755,2020-01-26,55
756,2020-01-27,57
757,2020-01-28,59
758,2020-01-29,56
759,2020-01-30,55
760,2020-01-31,56
761,2020-02-01,61
762,2020-02-02,57
763,2020-02-03,56
764,2020-02-04,56
765,2020-02-05,56
766,2020-02-06,58
767,2020-02-07,58
768,2020-02-08,60
769,2020-02-09,56
770,2020-02-10,56
771,2020-02-11,57
772,2020-02-12,57
773,2020-02-13,56
774,2020-02-14,55
775,2020-02-15,56
776,2020-02-16,57
777,2020-02-17,58
778,2020-02-18,56
779,2020-02-19,56
780,2020-02-20,58
781,2020-02-21,66
782,2020-02-22,73
783,2020-02-23,65
784,2020-02-24,70
785,2020-02-25,71
786,2020-02-26,64
787,2020-02-27,62
788,2020-02-28,66
789,2020-02-29,68
790,2020-03-01,63
791,2020-03-02,67
792,2020-03-03,66
793,2020-03-04,63
794,2020-03-05,62
795,2020-03-06,69
796,2020-03-07,64
797,2020-03-08,62
798,2020-03-09,72
799,2020-03-10,63
800,2020-03-11,61
801,2020-03-12,71
802,2020-03-13,84
803,2020-03-14,81
804,2020-03-15,70
805,2020-03-16,84
806,2020-03-17,100
807,2020-03-18,98
808,2020-03-19,100
809,2020-03-20,88
810,2020-03-21,79
811,2020-03-22,67
812,2020-03-23,78
813,2020-03-24,65
814,2020-03-25,64
815,2020-03-26,61
816,2020-03-27,62
817,2020-03-28,63
818,2020-03-29,60
819,2020-03-30,60
820,2020-03-31,56
821,2020-04-01,55
822,2020-04-02,54
823,2020-04-03,55
824,2020-04-04,54
825,2020-04-05,51
826,2020-04-06,51
827,2020-04-07,54
828,2020-04-08,53
829,2020-04-09,52
830,2020-04-10,56
831,2020-04-11,53
832,2020-04-12,54
833,2020-04-13,55
834,2020-04-14,53
835,2020-04-15,55
836,2020-04-16,57
837,2020-04-17,55
838,2020-04-18,56
839,2020-04-19,57
840,2020-04-20,56
841,2020-04-21,57
842,2020-04-22,57
843,2020-04-23,55
844,2020-04-24,57
845,2020-04-25,61
846,2020-04-26,66
847,2020-04-27,57
848,2020-04-28,55
849,2020-04-29,52
850,2020-04-30,55
851,2020-05-01,57
852,2020-05-02,56
853,2020-05-03,57
854,2020-05-04,57
855,2020-05-05,56
856,2020-05-06,52
857,2020-05-07,55
858,2020-05-08,55
859,2020-05-09,59
860,2020-05-10,57
861,2020-05-11,57
862,2020-05-12,55
863,2020-05-13,57
864,2020-05-14,57
865,2020-05-15,58
866,2020-05-16,60
867,2020-05-17,60
868,2020-05-18,62
869,2020-05-19,59
870,2020-05-20,58
871,2020-05-21,58
872,2020-05-22,58
873,2020-05-23,58
874,2020-05-24,58
875,2020-05-25,57
876,2020-05-26,56
877,2020-05-27,56
878,2020-05-28,55
879,2020-05-29,58
880,2020-05-30,56
881,2020-05-31,57
882,2020-06-01,54
883,2020-06-02,54
884,2020-06-03,55
885,2020-06-04,56
886,2020-06-05,58
887,2020-06-06,60
888,2020-06-07,61
889,2020-06-08,58
890,2020-06-09,59
891,2020-06-10,57
892,2020-06-11,58
893,2020-06-12,55
894,2020-06-13,61
895,2020-06-14,57
896,2020-06-15,56
897,2020-06-16,54
898,2020-06-17,54
899,2020-06-18,55
900,2020-06-19,60
901,2020-06-20,60
902,2020-06-21,55
903,2020-06-22,59
904,2020-06-23,58
905,2020-06-24,59
906,2020-06-25,56
907,2020-06-26,61
908,2020-06-27,61
909,2020-06-28,60
910,2020-06-29,59
911,2020-06-30,59
912,2020-07-01,58
913,2020-07-02,62
914,2020-07-03,62
915,2020-07-04,64
916,2020-07-05,60
917,2020-07-06,60
918,2020-07-07,65
919,2020-07-08,67
